id,country_id,index,year
949,39,56.3,2006
950,39,53.1,2007
951,39,50.0,2008
952,39,46.9,2009
953,39,43.8,2010
954,39,43.8,2011
955,39,43.8,2012
956,39,43.8,2013
957,39,43.8,2014
958,39,43.8,2015
959,39,43.8,2016
960,39,43.8,2017
961,57,50.0,2006
962,57,46.9,2007
963,57,43.8,2008
964,57,43.8,2009
965,57,43.8,2010
966,57,43.8,2011
967,57,43.8,2012
968,57,43.8,2013
969,57,43.8,2014
970,57,50.0,2015
971,57,37.5,2016
972,57,43.8,2017
973,14,50.0,2006
974,14,50.0,2007
975,14,50.0,2008
976,14,50.0,2009
977,14,50.0,2010
978,14,50.0,2011
979,14,50.0,2012
980,14,50.0,2013
981,14,50.0,2014
982,14,50.0,2015
983,14,50.0,2016
984,14,50.0,2017
985,160,56.3,2006
986,160,56.3,2007
987,160,56.3,2008
988,160,56.3,2009
989,160,56.3,2010
990,160,56.3,2011
991,160,56.3,2012
992,160,56.3,2013
993,160,68.8,2014
994,160,68.8,2015
995,160,68.8,2016
996,160,68.8,2017
997,204,62.5,2006
998,204,56.3,2007
999,204,50.0,2008
1000,204,50.0,2009
1001,204,50.0,2010
1002,204,50.0,2011
1003,204,50.0,2012
1004,204,50.0,2013
1005,204,50.0,2014
1006,204,43.8,2015
1007,204,43.8,2016
1008,204,56.3,2017
1009,124,62.5,2006
1010,124,59.4,2007
1011,124,56.3,2008
1012,124,46.9,2009
1013,124,37.5,2010
1014,124,56.3,2011
1015,124,56.3,2012
1016,124,56.3,2013
1017,124,56.3,2014
1018,124,56.3,2015
1019,124,56.3,2016
1020,124,56.3,2017
1021,136,56.3,2006
1022,136,56.3,2007
1023,136,56.3,2008
1024,136,53.1,2009
1025,136,50.0,2010
1026,136,50.0,2011
1027,136,50.0,2012
1028,136,50.0,2013
1029,136,50.0,2014
1030,136,50.0,2015
1031,136,50.0,2016
1032,136,50.0,2017
1033,18,50.0,2006
1034,18,50.0,2007
1035,18,50.0,2008
1036,18,50.0,2009
1037,18,50.0,2010
1038,18,62.5,2011
1039,18,62.5,2012
1040,18,56.3,2013
1041,18,56.3,2014
1042,18,56.3,2015
1043,18,56.3,2016
1044,18,56.3,2017
1045,16,56.3,2006
1046,16,59.4,2007
1047,16,62.5,2008
1048,16,62.5,2009
1049,16,62.5,2010
1050,16,62.5,2011
1051,16,62.5,2012
1052,16,62.5,2013
1053,16,62.5,2014
1054,16,62.5,2015
1055,16,62.5,2016
1056,16,62.5,2017
1057,194,87.5,2006
1058,194,87.5,2007
1059,194,87.5,2008
1060,194,87.5,2009
1061,194,87.5,2010
1062,194,87.5,2011
1063,194,87.5,2012
1064,194,87.5,2013
1065,194,87.5,2014
1066,194,87.5,2015
1067,194,87.5,2016
1068,194,87.5,2017
1069,103,37.5,2006
1070,103,37.5,2007
1071,103,37.5,2008
1072,103,40.6,2009
1073,103,43.8,2010
1074,103,43.8,2011
1075,103,43.8,2012
1076,103,43.8,2013
1077,103,43.8,2014
1078,103,43.8,2015
1079,103,37.5,2016
1080,103,37.5,2017
1081,109,68.8,2006
1082,109,62.5,2007
1083,109,56.3,2008
1084,109,59.4,2009
1085,109,62.5,2010
1086,109,56.3,2011
1087,109,56.3,2012
1088,109,56.3,2013
1089,109,56.3,2014
1090,109,56.3,2015
1091,109,56.3,2016
1092,109,56.3,2017
1093,197,43.8,2006
1094,197,50.0,2007
1095,197,56.3,2008
1096,197,56.3,2009
1097,197,56.3,2010
1098,197,56.3,2011
1099,197,62.5,2012
1100,197,62.5,2013
1101,197,62.5,2014
1102,197,62.5,2015
1103,197,62.5,2016
1104,197,62.5,2017
1105,49,75.0,2006
1106,49,75.0,2007
1107,49,75.0,2008
1108,49,68.8,2009
1109,49,62.5,2010
1110,49,62.5,2011
1111,49,62.5,2012
1112,49,62.5,2013
1113,49,62.5,2014
1114,49,62.5,2015
1115,49,62.5,2016
1116,49,62.5,2017
1117,143,56.3,2006
1118,143,56.3,2007
1119,143,56.3,2008
1120,143,56.3,2009
1121,143,56.3,2010
1122,143,56.3,2011
1123,143,31.3,2012
1124,143,62.5,2013
1125,143,62.5,2014
1126,143,62.5,2015
1127,143,62.5,2016
1128,143,62.5,2017
1129,52,87.5,2006
1130,52,87.5,2007
1131,52,87.5,2008
1132,52,87.5,2009
1133,52,87.5,2010
1134,52,87.5,2011
1135,52,87.5,2012
1136,52,87.5,2013
1137,52,87.5,2014
1138,52,87.5,2015
1139,52,87.5,2016
1140,52,87.5,2017
1141,110,31.3,2006
1142,110,34.4,2007
1143,110,37.5,2008
1144,110,34.4,2009
1145,110,31.3,2010
1146,110,31.3,2011
1147,110,31.3,2012
1148,110,31.3,2013
1149,110,31.3,2014
1150,110,31.3,2015
1151,110,31.3,2016
1152,110,31.3,2017
1153,175,81.3,2006
1154,175,81.3,2007
1155,175,81.3,2008
1156,175,81.3,2009
1157,175,81.3,2010
1158,175,81.3,2011
1159,175,87.5,2012
1160,175,87.5,2013
1161,175,87.5,2014
1162,175,87.5,2015
1163,175,87.5,2016
1164,175,87.5,2017
1165,11,50.0,2006
1166,11,50.0,2007
1167,11,50.0,2008
1168,11,50.0,2009
1169,11,50.0,2010
1170,11,50.0,2011
1171,11,50.0,2012
1172,11,50.0,2013
1173,11,50.0,2014
1174,11,43.8,2015
1175,11,43.8,2016
1176,11,43.8,2017
1177,186,50.0,2006
1178,186,50.0,2007
1179,186,50.0,2008
1180,186,40.6,2009
1181,186,31.3,2010
1182,186,43.8,2011
1183,186,43.8,2012
1184,186,43.8,2013
1185,186,43.8,2014
1186,186,43.8,2015
1187,186,43.8,2016
1188,186,43.8,2017
1189,126,56.3,2006
1190,126,56.3,2007
1191,126,56.3,2008
1192,126,56.3,2009
1193,126,56.3,2010
1194,126,50.0,2011
1195,126,50.0,2012
1196,126,50.0,2013
1197,126,50.0,2014
1198,126,50.0,2015
1199,126,50.0,2016
1200,126,50.0,2017
1201,21,56.3,2006
1202,21,56.3,2007
1203,21,56.3,2008
1204,21,53.1,2009
1205,21,50.0,2010
1206,21,43.8,2011
1207,21,43.8,2012
1208,21,43.8,2013
1209,21,43.8,2014
1210,21,43.8,2015
1211,21,43.8,2016
1212,21,43.8,2017
1213,23,56.3,2006
1214,23,56.3,2007
1215,23,56.3,2008
1216,23,53.1,2009
1217,23,50.0,2010
1218,23,43.8,2011
1219,23,50.0,2012
1220,23,50.0,2013
1221,23,50.0,2014
1222,23,56.3,2015
1223,23,56.3,2016
1224,23,56.3,2017
1225,178,68.8,2006
1226,178,65.7,2007
1227,178,62.5,2008
